id	type	category	amount	date	external_transaction_id	desc_notes	created_at
1324	expense	Feed	400.00	2026-07-07	agri_poultry_expense_143	Water tank Car , water refilling	2026-07-07 18:22:19
1772	expense	Other Expenses	310.00	2026-07-11	agri_poultry_expense_146	Coccit	2026-07-13 09:00:42
1765	expense	Other Expenses	540.00	2026-07-12	agri_poultry_expense_145	6 Big Drinkers for the birds	2026-07-12 10:45:36
1809	income	Egg Sales	1350.00	2026-07-12	agri_egg_client_sale_8	Egg client sale: 36 small - Buyer: Collins woman - Last week’s money	2026-07-19 22:22:25
1773	expense	Other Expenses	200.00	2026-07-13	agri_poultry_expense_147	Knapsack Sprayer	2026-07-13 12:21:35
1774	expense	Other Expenses	50.00	2026-07-13	agri_poultry_expense_148	Nails for roofing	2026-07-13 12:21:58
1800	expense	Equipment	460.00	2026-07-15	agri_poultry_expense_149	Roofing Leakage Workmanship:300\nMaterials: Ghc60\nRain Coat	2026-07-17 09:07:03
1802	expense	Feed	5090.00	2026-07-16	agri_poultry_expense_151	Feed for 3 weeks after 2nd week the 3rd batch will start eating some	2026-07-17 09:24:02
1803	expense	Feed	390.00	2026-07-16	agri_poultry_expense_152	Transportation of 2 Tons of feed	2026-07-17 09:25:35
1801	expense	Feed	5020.00	2026-07-17	agri_poultry_expense_150	Feed for 3rd Batch till the end of the month	2026-07-17 09:18:47
1810	income	Egg Sales	1650.00	2026-07-19	agri_egg_client_sale_9	Egg client sale: 11 small, 30 large - Buyer: Collins Friend	2026-07-19 22:24:01
1829	expense	Medication	518.00	2026-07-21	agri_poultry_expense_153	Medication : 180\nVert Dr. Injection : 330\nWe gave the boys who helped 2 creates of eggs	2026-07-21 18:20:58
1830	expense	Feed	400.00	2026-07-21	agri_poultry_expense_154	Water	2026-07-21 18:21:46
1854	expense	Seeds	160.00	2026-07-25	agri_poultry_expense_155	Transportation of Cassava	2026-07-26 11:38:54
1873	expense	Seeds	500.00	2026-07-26	agri_poultry_expense_158	CASSAVA, 1 MOTO KING	2026-07-28 13:14:06
1869	expense	Feed	90.00	2026-07-27	agri_poultry_expense_156	1 Bag of Shells because the birds were eating the eggs	2026-07-28 12:39:08
1872	expense	Pesticides	210.00	2026-07-27	agri_poultry_expense_157	3 BOTTLES OF WEEDICIDE BEFORE THE PLANTING OF THE CASSAVA	2026-07-28 13:13:12
1890	expense	Feed	5280.00	2026-07-29	agri_poultry_expense_159	(C) Layer Feed Cost \nExpenses\n1. Maize and Other Costs = GH₵4,820\n2. Milling Cost = GH₵70\n3. Transport = GH₵350\n4. Petrol = GH₵40\nTotal Expenses = GH₵5,280	2026-07-30 23:24:29
